codigo,razao_social,cidade,estado
101656,ROYALL DIAMOND FER DIAMANTADAS EIRELI,SAO PAULO,SP
101660,I.V.L. INDUSTRIAS VIEIRA LTDA,LAGARTO,SE
101676,TECELAGEM SAO JOAO DE TIETE LTDA,TIETE,SP
101678,PABLO PEREIRA SANTORO,MACAE,RJ
101680,TECNOMUNDI INDUSTRIA METALURGICA LTDA,MAUA,SP
101684,M.G.L. MECANICA DE PRECISAO EIRELI,CAMBE,PR
101686,BRAVA AUTOMACAO LTDA,NOVA ODESSA,SP
101689,STARA S.A. INDUSTRIA DE IMPLEMENTOS AGRICOLAS,NAO-ME-TOQUE,RS
101690,COMERCIAL ELETRICA SENIOR LTDA,CURITIBA,PR
101691,"A22 COMERCIO, IMPORTACAO E EXPORTACAO LTDA",SAO JOSE DOS CAMPOS,SP
101693,RENTELCK ELETRONICA INDUSTRIAL LTDA,SAO JOSE DOS CAMPOS,SP
101700,METALURGICA EXPOENTE LTDA,FAZENDA RIO GRANDE,PR
101703,ACCELL SOLUCOES PARA ENERGIA E AGUA LTDA,AMERICANA,SP
101707,STEEL CONNECT USINAGEM EIRELI ME,SOROCABA,SP
101710,KGM INDUSTRIA METALURGICA LTDA,SAO PAULO,SP
101712,TECSI - TECNOLOGIA E SOLUCOES INDUSTRIAIS LTDA,SAO BERNARDO DO CAMPO,SP
101715,MODERTECH ASSISTENCIA TEC. E REFORMA CNC LTDA ME,MATAO,SP
101717,ITP COMERCIO DE MAQUINAS LTDA ME,CAMPINAS,SP
101718,MECANICA CORAL E RONCHI LTDA,CRICIUMA,SC
101723,FREMONT AUTOMACAO INDUSTRIAL EIRELI,PIRACAIA,SP
101724,APE INDUSTRIA E COMERCIO LTDA,BAURU,SP
101742,LPK INDUSTRIA E COMERCIO LTDA,VESPASIANO,MG
101743,JT BOMBAS EIRELI,SAO LOURENCO DO OESTE,SC
101747,ACO PECAS DEMORE LTDA,CAXIAS DO SUL,RS
101750,SCHULZ COMPRESSORES LTDA,JOINVILLE,SC
101760,JOSIANE APARECIDA FERREIRA DA SILVA,ANAPOLIS,GO
101762,ELETROMOTORES BADAN LTDA,CAMPINAS,SP
101763,EXATA AUTOMACAO EIRELI,INDAIATUBA,SP
101766,ETEP INDUSTRIA METALURGICA LTDA,SALVADOR,BA
101767,GEOMINAS GEOLOGIA E CONSTRUTORA LTDA EPP,PARAUAPEBAS,PA
101768,ANTONIO MOISES SERAFIM,PARAUAPEBAS,PA
101769,E.C. DA SILVA E CIA LTDA,SALVADOR,BA
101773,TEKSID DO BRASIL LTDA,BETIM,MG
101778,JUNCAO ELETRO ELETRONICA EIRELI,SAO PAULO,SP
101783,BIRIGUI FIXADORES INDUSTRIAIS EIRELI EPP,BIRIGUI,SP
101793,LINTEC-IXON IND. E COM. MAQUINAS E EQUIP. LTDA,SANTA ROSA,RS
101797,NERIS ASSISTENCIA TECNICA SC LTDA,RIO DE JANEIRO,RJ
101810,METALURGICA FL LTDA,INDAIATUBA,SP
101847,ENGRECON S.A.,SANTANA DE PARNAIBA,SP
101853,TUBOSDRILL OILFIELD DO BRASIL EIRELI,MACAE,RJ
101858,PETROLEO BRASILEIRO S.A. PETROBRAS,RIO DE JANEIRO,RJ
101871,POSIMEC - INDUSTRIA E COMERCIO DE MAQUINAS E EQUIP,PEDERNEIRAS,SP
101872,HENGST INDUSTRIA DE FILTROS LTDA,JOINVILLE,SC
101873,BELLOTA BRASIL LTDA,INDAIAL,SC
101877,RCS FERRAMENTARIA LTDA,DIVINOPOLIS,MG
101880,MICROPARTS MODELACAO E PECAS LTDA,MARILIA,SP
101883,DANA INDUSTRIAS LTDA,SOROCABA,SP
101891,ALLSERVICE MANUTENCAO LTDA,GARUVA,SC
101892,ANGELUS PRIMA DENTAL LTDA,LONDRINA,PR
101893,FIVELTEC IND DE METAIS LTDA,BIRIGUI,SP
101895,DIOGO TEODORO DE ANDRADE,PEDERNEIRAS,SP
101896,POWER STOP INDUSTRIA E COMERCIO DE COMPONENTES AUT,LIMEIRA,SP
101899,MACHSERV AUTOMACAO E MANUTENCAO EM MAQUINAS CNC LT,JOINVILLE,SC
101901,VIDEPLAST INDUSTRIA DE EMBALAGENS LTDA,VIDEIRA,SC
101906,ASTECMA ASSISTENCIA TECNICA EM MAQUINAS DE PRECISA,OSASCO,SP
101911,TOOKCARE COM. VAREJISTA DO VESTUARIO EIRELI,FRANCA,SP
101915,RAK - INDUSTRIA DE FERRAGENS LTDA,SAO JOSE DOS PINHAIS,PR
101920,F.M.A. INDUSTRIAS MECANICAS LTDA.,MONTE ALTO,SP
101921,"ELETRO AREA DISTRIBUIDORA DE MOTORES, BOMBAS E MAT",MOGI GUACU,SP
101922,L&M COMERCIO DE PECAS LTDA,JARAGUA DO SUL,SC
101925,MATRIZFER FERRAMENTARIA DE PRECISAO LTDA,ARAUCARIA,PR
101929,ALL BATTERY C T DE AZEVEDO LTDA,SAO JOSE DOS CAMPOS,SP
101931,ADRIANO DE JESUS MOREIRA 27424565893,MONTE ALTO,SP
101932,NILSON KARPINSKI,CURITIBA,PR
101933,FAIR TRADE LTDA,FOZ DO IGUACU,PR
101936,HENNINGS VEDACOES HIDRAULICAS LTDA,BLUMENAU,SC
101939,MC SERVICE MAQUINAS LTDA,SANTA BARBARA D'OESTE,SP
101940,MARCCHI COMERCIO E SERVICOS LTDA,CABREUVA,SP
101948,NEWPOWER SISTEMAS DE ENERGIA S.A.,GUARULHOS,SP
101952,ALSTEN ELETRONICA INDUSTRIAL COMERCIO E SERVICOS L,BOITUVA,SP
101953,GRUPO GENNIUS BRASIL PRODUCAO E COMERCIALIZACAO DE,MONTE ALTO,SP
101954,HDT INDUSTRIA E COMERCIO DE MAQUINAS E EQUIPAMENTO,SAO PAULO,SP
101955,GFT PECAS E SUPRIMENTOS INDUSTRIAIS LTDA,SAO PAULO,SP
101957,MAXIDRIVE INDUSTRIA E COMERCIO DE MAQUINAS E EQUIP,LIMEIRA,SP
101959,ELETRORIO COMERCIAL ELETRICA LTDA,SANTO ANDRE,SP
101960,ONIX SOLUCOES INDUSTRIAIS LTDA.,SANTA BARBARA D'OESTE,SP
101962,ISOLET INDUSTRIA E COMERCIO LTDA,ITU,SP
101965,RUDLOFF INDUSTRIAL LTDA,CAMACARI,BA
101967,J B BRASIL INDUSTRIA E COMERCIO DE MOTOPECAS EIREL,MONTE ALTO,SP
